country_txt,region_txt,provstate,city,latitude,longitude,attacktype1_txt,targtype1_txt,gname,weaptype1_txt
Australia,Australasia & Oceania,Queensland (State),Broadbeach,-28.0291,153.431388,Bombing/Explosion,Business,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales (State),Paramatta,-33.815128,151.003155,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Other
Australia,Australasia & Oceania,Queensland,Vale View,-27.661735,151.897583,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
Australia,Australasia & Oceania,Western Australia,Joondalup,-31.743357,115.764172,Facility/Infrastructure Attack,Police,Unknown,Incendiary
Australia,Australasia & Oceania,Western Australia,Joondalup,-31.743357,115.764172,Facility/Infrastructure Attack,Police,Unknown,Incendiary
Australia,Australasia & Oceania,New South Wales,Condell Park,-33.922832,151.011897,Bombing/Explosion,Private Citizens & Property,Unknown,Explosives
Australia,Australasia & Oceania,Western Australia,Perth,-31.952854,115.857339,Armed Assault,Religious Figures/Institutions,Combat 18,Firearms
Australia,Australasia & Oceania,Victoria,Melbourne,-37.808896,144.950421,Facility/Infrastructure Attack,Business,Informal Anarchist Federation,Incendiary
Australia,Australasia & Oceania,Queensland,Logan,-27.639793,153.108516,Facility/Infrastructure Attack,Police,Anarchists,Incendiary
Australia,Australasia & Oceania,New South Wales,Sydney,-33.888408,151.237218,Facility/Infrastructure Attack,Private Citizens & Property,Informal Anarchist Federation,Incendiary
Australia,Australasia & Oceania,New South Wales,Sydney,-33.888408,151.237218,Facility/Infrastructure Attack,Private Citizens & Property,Informal Anarchist Federation,Incendiary
Australia,Australasia & Oceania,Victoria,Beechworth,-36.35772,146.696395,Facility/Infrastructure Attack,Police,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Melbourne,-37.814107,144.96328,Armed Assault,Police,Jihadi-inspired extremists,Melee
Australia,Australasia & Oceania,New South Wales,Bankstown,-33.907092,151.057308,Armed Assault,Religious Figures/Institutions,Unknown,Firearms
Australia,Australasia & Oceania,New South Wales,Oberon,-33.704174,149.857408,Facility/Infrastructure Attack,Business,Animal Liberation Front (ALF),Incendiary
Australia,Australasia & Oceania,New South Wales,Sydney,-33.867979,151.211038,Hostage Taking (Barricade Incident),Business,Jihadi-inspired extremists,Firearms
Australia,Australasia & Oceania,Queensland,Toowoomba,-27.581562,151.933834,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,Brighton,-37.898215,144.995554,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
Australia,Australasia & Oceania,Victoria,St. Kilda East,-37.858684,144.996338,Facility/Infrastructure Attack,Religious Figures/Institutions,Unknown,Incendiary
